Автовокзал,Мясокомбинат (кольцо),Автозавод им. Кирова,Кадино сельсовет (на Романовичи),Романовичи (отправление на Могилев),Кадино озеро (на Могилев),Дни обслуживания,Маршрут
,,"5.10 (до Кадино)",5.42,6.05,6.20,Ежедневно,290
,,"5.26 (до Кадино)",,,5.22,Рабочие дни,292
,5.52,6.02,6.21,6.42,6.56,Ежедневно,293
,,"6.31 (до Кадино)",,,6.40,Рабочие дни,292
,,"7.30 (до Кадино)",7.50,8.11,8.24,Ежедневно,293
8.21,9.35,8.36,8.58,9.22,9.37,Ежедневно,290
,,"9.45",10.04,10.25,10.39,Рабочие дни,293
10.46,,11.01,11.23,11.44,11.59,Ежедневно,290
11.50,,12.05,12.27,12.48,13.02,Ежедневно,290
13.21,14.10,13.36,13.58,14.20,14.35,Рабочие дни,293
,,14.20,14.39,15.00,15.15,Рабочие дни,293
,,15.50,16.09,16.30,16.44,Ежедневно,290
16.11,17.25,16.26,16.48,17.10,17.25,Рабочие дни,293
,,17.35,17.54,18.15,18.29,Ежедневно,290
18.11,19.30,18.26,18.49,19.10,19.25,Рабочие дни,293
,,19.40,19.59,20.19,20.33,Ежедневно,293
20.41,,20.55,21.13,21.33,"21.44 (до автозавода)",Ежедневно,290
